"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5839777179.4856","5156523338.13202","3001096441.20728","2736999990.59546","2884798066.15368","3083849087.13088","3264729194.59891","3373153453.15604","3619393654.82187","3738833645.45205","3959424830.6504","4339529614.36417","4912347523.37066","5600076176.7187","6188084175.20809","7048227875.50714","7978593955.03646","9071661326.99986","9697605958.60182","8330243518.3711","8513508875.79318","8913643792.84258","9555426146.01325","9870755208.83169","10226102396.4079","10553337672.9872","10574444348.3148","11367527674.612","11958639113.6524","12867495686.1153","11915301005.3544","12594473162.6721",
"American Samoa","ASM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","744923664.122138","752116030.534351","755198473.282443","752116030.534351","721291603.053435","734648854.961832","715126717.557252","685329770.992367","687384732.824428","687384732.824428","657587786.259542","641148091.603054","652450381.679389","673000000","661697709.923664","615461068.70229","631900763.358779","628818320.610687","653477862.59542","",
"Antigua and Barbuda","ATG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","346269196.835313","361448350.025752","390652456.234319","422535286.105219","438654653.041089","438286129.335081","461795868.619111","508737398.358923","547624235.021329","610567225.785409","651025662.213755","684965406.613787","720941671.103003","742654377.271652","758818833.53906","767609561.473437","808138415.274982","862095450.251678","824511645.778324","878966185.317249","927059773.66768","970920131.234148","1006918139.9154","1069381614.5052","1020746101.54234","1031233675.39432","1093897040.21001","1156982395.5026","1231883484.14811","1388433067.06436","1517770927.22872","1517553268.98274","1336012965.82455","1231261603.44532","1207145958.1923","1247861376.20468","1240363271.73109","1287444082.93699","1336692592.59259","1410163355.6217","1454503449.73032","1554626242.87881","1630215842.3024","1301036618.29788","1369612291.79505",
"Australia","AUS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","205048666020.255","210140579058.534","212860782121.407","226089971117.828","241867751030.378","256333601242.157","262439380778.966","278982641188.18","293197094658.674","313848509001.801","336369592522.62","349823081605.576","363497860035.65","373018570755.707","388332696798.105","393519448128.006","403716822531.938","418221812356.132","421961150711.515","439053871064.253","452380909091.713","467485036059.805","483018946079.612","472286412744.384","493992338568.166","519937385490.482","540895895254.1","554677554933.462","586536446754.782","609202798452.45","630972702488.834","628479810251.912","631080336422.977","656535385505.246","682668603641.098","708840961389.366","736162668909.91","764934047459.534","800228192955.163","839732857524.87","872586798723.367","890372741826.771","926116992865.178","954922242233.238","995080989941.195","1026528915832.15","1054521265557.74","1094260767801.94","1133402638271.95","1154561362206.77","1179642326916.53","1208776499565.85","1256128656424.85","1288790662985.54","1321821485124.76","1350534154255.76","1387560980285.63","1419418366737.24","1460169477425.41","1491025040336.15","1490967836287.24","1512962040410.16",
"Austria","AUT","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","84930957865.7421","89634416745.9454","92008541234.9355","95816100869.1366","101684217823.965","105223006468.235","111160594895.654","114504358722.384","119625351794","127132879969.536","135169130645.024","142082989214.129","150903303811.962","158283132276.333","164522871893.839","163924443911.638","171429635128.008","180138227325.32","179758759493.059","189387896783.516","192667120935.942","192389112509.963","196258547592.121","202093486979.047","202197109935.467","207249365643.959","212018988476.745","214896442478.295","221979171128.378","230607667590.116","240629049863.283","248910606082.174","254121610895.057","255460346929.86","261596808649.455","268576168421.57","274886456416.226","280641477589.641","290692443914.523","301030430129.082","311192381028.414","315135711888.113","320340348097.004","323356259321.687","332200441760.824","339655236682.676","351387070656.34","364484726093.492","369807747327.812","355886045571.664","362424005611.476","373016924602.914","375555101767.152","375650886015","378134963330.691","381971148530.543","389570224508.691","398368950204.699","408334528417.519","414423657207.687","386514237678.398","403845417071.793",
"Azerbaijan","AZE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20239380758.5345","20097705057.6642","15555623649.0243","11962274785.3923","9605706504.34692","8472233222.54745","8582372204.00014","9080149804.53044","9988164749.71045","10727289070.9938","11918018065.9878","13097901838.4714","14334201826.0091","15797480065.0769","17259347559.2653","22085326604.2783","29704764282.7543","37130955309.3516","41125866644.727","44949076801.0869","47218530748.1023","47265749343.9292","48289166006.8036","51094670380.391","52500032771.4869","53074370486.0433","51429065064.4674","51531923163.2034","52304902010.6514","53612524596.1907","51307185983.705","54180407522.419",
"Burundi","BDI","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","798536053.221062","688768208.890542","751192359.460549","782257224.046094","831328516.192804","864309193.984453","904179715.698774","1029151083.30038","1026085410.24787","1011109271.52856","1226735105.52421","1260431417.62463","1179713831.74788","1260984915.95562","1251819578.70619","1260556280.86689","1360677992.6696","1516740316.11769","1502474220.89776","1527489739.81461","1542628014.33145","1730262110.73196","1712032072.24412","1775639661.92548","1778401562.96929","1987953823.43417","2052565910.15133","2165520585.10351","2274468453.42311","2305162456.07094","2385839041.98187","2505055516.82036","2530356536.73279","2372462288.80548","2281596983.23443","2100894502.07675","1932822941.95387","1902091057.23753","1992440382.36304","1972316734.57094","1955416661.35412","1995616256.07614","2084351720.29655","2058844925.50565","2158362443.18037","2177787705.18846","2295688931.57302","2374935022.79824","2490397547.42626","2585350103.62297","2717827522.50394","2827426634.86236","2953153994.04242","3098572904.69968","3229972543.2146","3104003611.42957","3085379561.54199","3100806498.30043","3150727480.46183","3207836474.22691","3218331132.35691","3276109831.1151",
"Belgium","BEL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","107409842457.407","112757158826.444","118634065901.415","123796527265.888","132408661378.724","137123283408.933","141450750228.824","146922273105.169","153084383687.119","163233571843.436","172346670831.88","179216111161.922","188706688044.546","200749386449.419","209914113819.734","205787325003.57","217419959648.709","218781345279.661","224998884653.738","230266272692.697","240499429910.323","239827755215.623","241254698634.742","242007033807.079","247975853676.465","252071901218.968","256666571621.109","262586995647.719","274989527944.74","284529373856.785","293456205020.658","298835475229.994","303409615205.607","300491199097.648","310187964527.328","317585194591.875","321781927100.664","333989231728.476","340541460104.062","352605970422.851","365711203833.047","369732633305.117","376043542626.992","379946808976.211","393515485920.82","402651880769.961","412928965821.953","428111873071.133","430025228051.015","421335523091.64","433403805754.258","440747893479.883","444005978083.203","446045040873.594","453086009677.5","462335574841.484","468191916732.07","475774660680.469","484547468155.351","494778841276.25","466671773120.625","495814127754.492",
"Benin","BEN","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1651120625.57287","1702986955.09578","1644635642.81627","1722427368.74118","1836981864.19518","1934229164.27398","2003394544.12015","2024999124.1716","2102806387.11988","2163314598.30717","2208695694.28345","2175635013.31249","2315449315.70197","2401263695.22119","2481449385.72765","2359973866.21408","2380844444.55345","2499497725.6032","2530868372.36137","2696279536.58563","2879134847.97409","3165730586.35342","3236486765.23147","3095770057.83208","3341259656.73548","3592867362.5708","3670873600.43788","3615810388.05558","3738937601.20106","3632222321.20914","3958255477.01441","4125523414.03257","4247544466.72825","4495438471.19399","4586264330.18832","4863513119.58136","5073825240.77247","5364793307.03368","5577293421.1214","5875201725.54095","6219354251.61579","6551040853.89379","6855207703.09519","7091272043.49982","7405393025.88227","7532259594.99787","7829312241.28345","8298002221.53926","8704320296.77356","8906198913.18118","9094481722.87524","9364019690.4087","9814543589.03926","10520349986.3078","11189200078.4152","11388160958.249","11768488343.5155","12435944687.8335","13268812169.9892","14179807326.7156","14725558673.4836","15697445694.8504",
"Burkina Faso","BFA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1166782782.03899","1213966637.39909","1288368209.86459","1272031490.02295","1301069669.40945","1350049027.548","1357307067.75593","1477066545.51999","1522423920.04421","1553269462.44467","1555087092.32243","1577065758.39078","1613519613.5496","1620769599.34995","1755073480.61617","1807697303.69003","1961982369.76704","1969248641.39191","2059988172.59537","2135478942.31457","2152496122.96238","2244091363.55049","2458675792.10628","2467182435.15817","2423298742.90377","2629699941.66218","2838902110.6991","2832192740.60375","2996335103.82153","3060764316.91051","3042310097.21222","3318247150.21709","3325969068.44029","3441093660.86632","3486344292.74658","3685636766.66074","4091600216.47068","4350059840.1554","4667950017.22733","5013156021.43868","5107828163.92166","5445629565.17945","5682675850.46101","6126066286.40807","6400419232.9076","6954815432.94898","7389711495.72987","7693530543.6276","8139754679.75346","8380850213.3838","9088720420.95919","9690626621.56382","10315931008.977","10913490065.2338","11385699931.5135","11832159275.603","12537116569.2425","13314855268.0876","14194244080.5891","15001629028.4851","15291209207.4632","16347272361.3217",
